# Seq RA_ICRS   DE_ICRS   Plx   e_Plx pmRA   e_pmRA pmDE   e_pmDE RV     e_RV  Memb GaiaDR2 SimbadName                   _RA_icrs  _DE_icrs  Gmag      BPmag     RPmag    
  1   183.10367 27.380058 11.67 0.05  -12.19 0.08   -9.41  0.05   0.15   0.27  b    GaiaDR2 "Gaia DR2 4009709385110617472" 183.10373 27.380098 7.979468  8.17706   7.629294 
  2   183.17819 25.228415 11.31 0.12  -11.75 0.17   -7.85  0.12   0.0    0.0   b    GaiaDR2 "Gaia DR2 4003180691222880896" 183.17825 25.228449 16.48972  18.26244  15.217038
  3   183.22176 26.250357 11.59 0.04  -12.07 0.06   -9.52  0.04   0.59   1.01  b    GaiaDR2 "Gaia DR2 4003406537783052416" 183.22182 26.250397 11.097765 11.634375 10.412151
  4   183.88109 25.06696  11.32 0.11  -12.13 0.17   -9.13  0.14   0.0    0.0   b    GaiaDR2 "Gaia DR2 4002505586787874560" 183.88115 25.066998 16.01661  17.729359 14.767036
  5   184.03484 25.760326 11.72 0.05  -12.23 0.08   -10.53 0.06   2.06   0.37  b    GaiaDR2 "Gaia DR2 4002565308308607616" 184.0349  25.760372 7.988176  8.188746  7.633772 
  6   184.15536 26.89944  11.52 0.06  -12.29 0.11   -9.44  0.08   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009455054326835968" 184.15543 26.89948  15.039103 16.50075  13.859041
  7   184.17174 26.777466 11.64 0.08  -11.74 0.14   -10.39 0.1    0.0    0.0   b    GaiaDR2 "Gaia DR2 4009440382718550272" 184.1718  26.77751  16.11994  17.768393 14.876345
  8   184.46205 25.571302 11.19 0.05  -11.3  0.08   -9.65  0.06   2.01   0.54  b    GaiaDR2 "Gaia DR2 4002550293102977152" 184.46211 25.571344 7.763075  7.941443  7.441972 
  9   184.59094 25.403536 12.13 0.25  -13.61 0.39   -9.88  0.32   0.0    0.0   b    GaiaDR2 "Gaia DR2 4002496794990367360" 184.591   25.40358  18.118244 20.304743 16.71422 
  10  184.59132 27.745083 11.91 0.09  -12.23 0.12   -9.78  0.17   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009788859185281152" 184.59138 27.745125 16.028017 17.68616  14.781389
  11  184.73402 25.76584  11.54 0.1   -11.62 0.16   -9.61  0.18   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008511467191955840" 184.73409 25.765882 16.611988 16.565842 16.71564 
  12  184.75838 26.008312 11.58 0.09  -12.52 0.14   -8.55  0.24   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008571356215936896" 184.75844 26.00835  6.413138  6.491275  6.245359 
  13  184.82991 23.034632 11.71 0.06  -12.62 0.1    -9.63  0.08   0.0    0.0   b    GaiaDR2 "Gaia DR2 3953900747569804928" 184.82997 23.034672 6.230475  6.295106  6.093592 
  14  184.96088 28.464317 11.68 0.05  -12.27 0.09   -9.03  0.07   0.0    0.0   b    GaiaDR2 "Gaia DR2 4010203993544316032" 184.96094 28.464355 6.604372  6.685485  6.432755 
  15  185.15077 28.451998 12.03 0.13  -12.65 0.2    -8.89  0.13   0.0    0.0   b    GaiaDR2 "Gaia DR2 4010214778206706048" 185.15083 28.452036 17.166252 19.148815 15.853622
  16  185.18982 25.765827 11.84 0.06  -12.18 0.07   -8.31  0.06   -0.48  0.31  b    GaiaDR2 "Gaia DR2 4008525241151501824" 185.18988 25.765863 8.918177  9.196861  8.470397 
  17  185.315   26.15386  11.78 0.04  -11.76 0.07   -9.45  0.05   -0.28  0.37  b    GaiaDR2 "Gaia DR2 4008553489152025856" 185.31506 26.153902 11.14276  11.698326 10.441659
  18  185.4195  27.1308   11.45 0.04  -11.84 0.06   -8.88  0.05   6.17   4.02  b    GaiaDR2 "Gaia DR2 4009508689878952832" 185.41956 27.130838 13.191741 14.354833 12.122013
  19  185.45422 26.549063 11.56 0.05  -12.47 0.08   -8.11  0.05   0.59   0.13  b    GaiaDR2 "Gaia DR2 4008706733584941312" 185.45428 26.549097 9.146585  9.436352  8.689064 
  20  185.48395 27.309471 11.72 0.07  -13.36 0.08   -9.01  0.07   -0.37  0.31  b    GaiaDR2 "Gaia DR2 4009518100151157248" 185.48401 27.309511 8.398304  8.628871  8.00357  
  21  185.5603  25.448956 11.45 0.15  -11.64 0.21   -9.49  0.16   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008314551531430784" 185.56035 25.448996 17.181557 19.215193 15.877586
  22  185.6031  22.4641   11.67 0.06  -11.79 0.11   -9.93  0.07   -1.13  0.33  b    GaiaDR2 "Gaia DR2 3953625839598043008" 185.60315 22.464142 8.419213  8.648732  8.026302 
  23  185.62624 25.846123 11.83 0.24  -10.85 0.4    -9.55  0.35   0.0    3.86  b    GaiaDR2 "Gaia DR2 4008342726516877312" 185.6263  25.846165 4.624533  4.922126  4.183922 
  24  185.78494 25.851336 11.41 0.1   -12.28 0.12   -8.73  0.25   -16.25 17.69 b    GaiaDR2 "Gaia DR2 4008433608024885632" 185.785   25.851374 8.964308  9.244772  8.514722 
  25  185.80005 23.937464 11.12 0.07  -11.67 0.1    -9.11  0.13   0.0    0.0   b    GaiaDR2 "Gaia DR2 3954074577781239936" 185.80011 23.937504 14.961775 16.391827 13.789779
  26  185.83723 28.920776 12.12 0.2   -13.07 0.31   -9.43  0.25   0.0    0.0   b    GaiaDR2 "Gaia DR2 4010324591930017920" 185.8373  28.920816 17.936075 20.18435  16.556538
  27  185.92082 26.979898 11.43 0.07  -12.16 0.1    -7.91  0.08   0.26   0.35  b    GaiaDR2 "Gaia DR2 4008744254419270400" 185.92088 26.979933 8.263161  8.482432  7.886273 
  28  185.94667 23.245653 11.75 0.04  -12.56 0.07   -9.96  0.05   0.55   0.56  b    GaiaDR2 "Gaia DR2 3953816570505994880" 185.94673 23.245695 11.244143 11.813084 10.530552
  29  185.9813  23.414429 11.34 0.04  -11.29 0.06   -9.32  0.05   0.0    0.0   b    GaiaDR2 "Gaia DR2 3953836670952932224" 185.98134 23.414469 14.102888 15.296041 13.014709
  30  186.02383 26.128551 11.25 0.04  -11.73 0.07   -8.99  0.05   -0.04  0.61  b    GaiaDR2 "Gaia DR2 4008444912378815232" 186.0239  26.12859  10.258201 10.653845 9.697545 
  31  186.04527 23.993345 12.13 0.08  -12.85 0.09   -9.04  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3954070042295789824" 186.04533 23.993383 15.008049 16.428556 13.834711
  32  186.25934 25.560627 11.48 0.05  -12.65 0.08   -8.18  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008364338792386304" 186.2594  25.560661 8.031269  8.304643  7.58734  
  33  186.26094 26.71058  11.91 0.06  -11.33 0.1    -8.79  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009049575054518400" 186.261   26.710617 14.237177 15.517051 13.117344
  34  186.34369 23.229046 11.56 0.06  -11.18 0.1    -10.83 0.07   -0.95  0.42  b    GaiaDR2 "Gaia DR2 3953772074643910784" 186.34373 23.229092 8.457365  8.687356  8.066516 
  35  186.35434 23.84795  11.21 0.05  -11.86 0.07   -7.6   0.05   0.07   0.73  b    GaiaDR2 "Gaia DR2 3953876974926061056" 186.35439 23.847982 12.804674 13.702329 11.870338
  36  186.4664  26.776634 11.59 0.05  -13.42 0.09   -8.6   0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009051048227419520" 186.46646 26.77667  8.231913  8.45031   7.85405  
  37  186.47588 26.860712 11.41 0.06  -11.54 0.09   -7.78  0.07   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009058199348854656" 186.47592 26.860746 14.643725 15.984687 13.499988
  38  186.50102 24.155771 11.53 0.07  -11.62 0.1    -6.61  0.08   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960080316450597376" 186.50108 24.155802 13.54505  14.800206 12.430645
  39  186.53526 24.658667 11.98 0.07  -11.85 0.12   -9.27  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960130997064687616" 186.53531 24.658707 14.70397  16.22327  13.507463
