time(s),z(m),z_err(m)
0.36,0.577893706232191,0.022410863636364
0.25,0.280122242045437,0.010471090909091
0.23,0.227303513802966,0.009339954545455
0.36,0.575240552503284,0.022410863636364
0.20,0.187955344511651,0.007271590909091
0.06,0.015670328153933,0.000606863636364
0.43,0.824579626795238,0.032407954545455
0.20,0.187727736958291,0.007271590909091
0.39,0.677586020135432,0.026558363636364
0.19,0.142633522423982,0.006036318181818
0.19,0.151527946058624,0.006036318181818
0.32,0.470557939646490,0.018101772727273
0.09,0.031835647907579,0.001296318181818
0.35,0.554659582483933,0.021290500000000
0.28,0.357713152374116,0.013803454545455
0.45,0.851818413458345,0.035909090909091
0.31,0.429787589850472,0.016604363636364
0.07,0.020752265484454,0.000807954545455
0.26,0.293722915825019,0.011666863636364
0.38,0.668728019982214,0.024737772727273
0.26,0.300608932073380,0.011666863636364
0.43,0.781280061366055,0.031729272727273
0.05,0.012805897389421,0.000517090909091
0.09,0.036649045177323,0.001436363636364
0.33,0.474804611233783,0.018615272727273
0.35,0.574589412338664,0.021847090909091
0.30,0.388648823024870,0.015171590909091
0.17,0.119924107797855,0.004915954545455
0.35,0.549321077745131,0.021847090909091
0.22,0.208478316578045,0.008621772727273
0.27,0.318673600149849,0.012499954545455
0.40,0.694080596689581,0.027808000000000
0.25,0.264394664532248,0.010862500000000
0.25,0.289785661556064,0.011261090909091
0.21,0.196019489474948,0.007598363636364
0.13,0.075160263862621,0.002815272727273
0.16,0.113678595812944,0.004398863636364
0.25,0.270202912141060,0.010862500000000
0.49,1.033411371925086,0.041884363636364
0.15,0.094438996584469,0.003677090909091
0.45,0.836458722605004,0.035194500000000
0.28,0.361318701187311,0.013803454545455
0.37,0.574741585785336,0.023559954545455
0.09,0.031952817429060,0.001296318181818
0.22,0.214240949584107,0.008621772727273
0.05,0.012834020169671,0.000517090909091
0.46,0.973601650395071,0.037359818181818
0.40,0.687129970577105,0.027179590909091
0.43,0.797198262187717,0.032407954545455
0.18,0.151275501257424,0.005745454545455
0.12,0.060366888989411,0.002617772727273
0.27,0.306576439768004,0.012499954545455
0.43,0.764104209972498,0.031729272727273
0.22,0.215707306986411,0.008621772727273
0.16,0.122955331382295,0.004653818181818
0.12,0.059241733685842,0.002427454545455
0.32,0.441713471180300,0.017595454545455
0.40,0.666495156148908,0.027808000000000
0.30,0.389879756408089,0.016119590909091
0.26,0.308979474268320,0.011666863636364
